id,age,race,gender,grade90,income96,partner,height,weight,famsize,genhealth,illegalact,charged,jobsnum90,afqt89,typejob90,jobtrain90,income96gt17
1,20,"ITALIAN","Female","12TH GRADE",0,"No",502,118,5,"Very Good",0,0,2,9,"manuf","No","0"
2,18,"FRENCH","Male","4TH YR COL",3.5,"No",504,200,4,"Good",1,0,10,99,"pro","No","1"
3,20,"ENGLISH","Female","12TH GRADE",2.4,"Yes",505,155,3,"Good",0,0,8,42,"fin","No","1"
4,15,"ITALIAN","Male","2ND YR COL",5.2,"No",506,159,6,"Excellent",0,0,4,51,"retail","No","1"
5,20,"IRISH","Male","4TH YR COL",5.2,"Yes",511,175,5,"Excellent",0,0,3,85,"busi","No","1"
6,15,"IRISH","Female","4TH YR COL",2.9,"No",507,145,5,"Very Good",2,0,15,92,"wholesale","Yes","1"
7,20,"ITALIAN","Female","1ST YR COL",2.5,"No",503,135,4,"Good",0,0,9,57,"pro","No","1"
8,21,"ENGLISH","Male","1ST YR COL",8,"No",509,155,1,"Excellent",0,0,4,98,"manuf","No","1"
9,19,"ITALIAN","Female","4TH YR COL",4.6,"No",504,120,5,"Very Good",1,0,10,63,"manuf","No","1"
10,17,"ITALIAN","Female","4TH YR COL",5.55,"No",502,138,5,"Excellent",2,0,17,94,"manuf","No","1"
11,16,"POLISH","Female","4TH YR COL",1.5,"No",504,115,4,"Very Good",1,0,19,84,"pro","No","0"
12,19,"GERMAN","Female","2ND YR COL",1.8,"No",507,120,3,"Excellent",1,0,3,57,"pro","No","1"
13,18,"GREEK","Female","12TH GRADE",4.1,"No",507,125,4,"Very Good",0,0,4,13,"fin","No","1"
14,20,"ENGLISH","Male","1ST YR COL",2.4,"No",510,200,4,"Very Good",1,0,15,13,"retail","No","1"
15,20,"GERMAN","Female","12TH GRADE",0,"No",507,130,4,"Very Good",0,0,3,59,"manuf","No","0"
16,16,"GERMAN","Female","12TH GRADE",3,"No",504,118,4,"Excellent",0,0,7,13,"pub","No","1"
17,19,"ITALIAN","Male","1ST YR COL",0.25,"No",507,160,3,"Excellent",0,0,8,38,"pub","No","0"
18,16,"ITALIAN","Male","3RD YR COL",6.7,"No",602,205,3,"Very Good",5,0,12,54,"busi","No","1"
19,15,"OTHER","Male","12TH GRADE",3.5,"No",511,230,4,"Very Good",5,0,7,16,"construction","No","1"
20,17,"OTHER","Female","12TH GRADE",0,"No",507,140,5,"Fair",0,0,14,13,"retail","No","0"
21,16,"FRENCH","Female","5TH YR COL",1.8,"Yes",502,122,3,"Excellent",0,0,5,63,"pro","No","1"
